Model,Accuracy,Precision,Recall,F1,AUC,Execution Time (s)
NIRAJ_LogisticRegression,0.8413361169102297,0.843898320012887,0.8456591639871383,0.8396941929417573,0.8988856589147293,27.109796285629272
ADITYA_RandomForest,0.947481243301179,0.9490336360379267,0.9436325678496869,0.9425647955171428,0.9795865633074928,23.26496434211731
AAKASH_GBT,0.9926931106471816,0.9927234350780538,0.9989281886387995,0.9926769714728001,0.9999623169681309,212.63216352462769
GIDEON_LinearSVC,0.8475991649269311,0.8468611786206066,0.8488745980707395,0.8471937148933304,0.8974197040779499,47.181013107299805
BINDU_MLP,0.8632567849686847,0.8827136082508062,0.8632567849686847,0.8580231976750152,0.9407461240310071,52.08879613876343
